date,category,event,severity,sentiment
2001-09-11,Security,9/11 terrorist attacks,high,-0.95
2003-03-20,War,Iraq War begins,high,-0.40
2005-08-29,Disaster,Hurricane Katrina landfall,high,-0.75
2007-12-01,Economic,Great Recession begins (NBER),high,-0.80
2008-09-15,Economic,Lehman Brothers collapses,high,-0.90
2009-06-01,Economic,Great Recession ends (NBER),medium,0.35
2011-05-02,Security,Bin Laden killed,medium,0.35
2011-08-05,Economic,US credit downgrade (S&P),medium,-0.50
2014-06-10,International,ISIS captures Mosul,medium,-0.65
2015-06-26,Political,Supreme Court legalizes same-sex marriage,medium,0.30
2017-08-12,Political,Charlottesville rally,medium,-0.70
2020-03-13,Health,US declares COVID-19 national emergency,high,-0.85
2020-05-25,Political,George Floyd killed — nationwide protests,high,-0.60
2021-01-06,Political,US Capitol attack,high,-0.80
2021-08-30,Security,US withdrawal from Afghanistan completed,high,-0.55
2022-02-24,International,Russia invades Ukraine,high,-0.70
2022-06-24,Political,Dobbs v. Jackson overturns Roe v. Wade,high,-0.25
2023-10-07,International,Hamas attacks Israel,high,-0.75
2024-06-27,Political,US presidential debate (Biden/Trump),medium,-0.20
2025-01-20,Political,Trump 2nd inauguration,medium,-0.10
