president,party,aspect,score,notes
Bill Clinton,Democratic,Public Safety,6,"Violent crime at generational lows (FBI UCR 1999-2001); declining through term."
Bill Clinton,Democratic,Economy,8,"Budget surplus; ~4% unemployment; broad real wage growth; late-expansion peak."
Bill Clinton,Democratic,Health,4,"Life expectancy rising steadily; no major public-health shock."
Bill Clinton,Democratic,Prosperity,7,"Income growth across brackets; household-wealth gains; low inflation."
Bill Clinton,Democratic,Happiness,6,"UMCSENT ~106 (8-year high); high life-satisfaction in Gallup polling."
Bill Clinton,Democratic,Peace,3,"Kosovo campaign resolved; no major active wars by end of term."
George W. Bush,Republican,Public Safety,-3,"9/11 attack; War on Terror anxiety; elevated public-fear polling."
George W. Bush,Republican,Economy,-2,"Mild 2000s expansion then Great Recession starts late 2007; ended in collapse."
George W. Bush,Republican,Health,1,"Stable life-expectancy; Medicare Part D enacted (+); no major pandemic."
George W. Bush,Republican,Prosperity,-3,"Housing bubble and crash; wage stagnation in middle class; net job loss by end."
George W. Bush,Republican,Happiness,-3,"Post-9/11 anxiety; war fatigue; UMCSENT dropped from 90s to 60s by exit."
George W. Bush,Republican,Peace,-7,"Two major wars launched (Afghanistan 2001, Iraq 2003); both active through term."
Barack Obama,Democratic,Public Safety,2,"Crime decline continued; Boston Marathon bombing and Sandy Hook were shocks."
Barack Obama,Democratic,Economy,3,"Slow but steady recovery from GFC; unemployment 10% to 4.7% over term."
Barack Obama,Democratic,Health,4,"Affordable Care Act expanded coverage to 20M+ Americans; life expectancy slight decline late term."
Barack Obama,Democratic,Prosperity,1,"Recovery uneven — top earners recovered fastest; median income recovered by 2015."
Barack Obama,Democratic,Happiness,2,"Mood recovered from GFC lows; moderate UMCSENT (~80s)."
Barack Obama,Democratic,Peace,-1,"Iraq drawdown but Libya, Syria, ISIS emergence; drone program expanded."
Donald Trump (1st term),Republican,Public Safety,-2,"Violent-crime uptick in 2020 (COVID/protests); overall mixed."
Donald Trump (1st term),Republican,Economy,1,"Strong pre-COVID expansion then sharp COVID collapse + rapid rebound."
Donald Trump (1st term),Republican,Health,-8,"COVID-19: 400K+ US deaths during term; Operation Warp Speed (+); CDC strain."
Donald Trump (1st term),Republican,Prosperity,0,"Strong wage growth pre-COVID; massive pandemic disruption in Q2-Q4 2020."
Donald Trump (1st term),Republican,Happiness,-4,"Polarization intensified; COVID isolation; UMCSENT slid from 100 to 70s."
Donald Trump (1st term),Republican,Peace,2,"No new wars started; Abraham Accords; Afghanistan withdrawal negotiated."
Joe Biden,Democratic,Public Safety,-2,"Violent-crime concerns persisted in polling though measured rates fell 2022-24."
Joe Biden,Democratic,Economy,-3,"Highest inflation in 40 years (9% peak); aggressive Fed tightening; mild labor softening."
Joe Biden,Democratic,Health,-1,"COVID recovery but healthcare inflation; drug-pricing reform (+); life expectancy partial recovery."
Joe Biden,Democratic,Prosperity,-4,"Real-wage compression from inflation early; partial recovery late term; housing unaffordable."
Joe Biden,Democratic,Happiness,-5,"UMCSENT at historic lows (~50s); polarization; inflation-driven cost-of-living strain."
Joe Biden,Democratic,Peace,-5,"Russia invasion of Ukraine; chaotic Afghanistan withdrawal; Hamas attack + Gaza war."
Donald Trump (2nd term),Republican,Public Safety,-1,"Early term; reported violent-crime rates mixed; immigration-enforcement controversies."
Donald Trump (2nd term),Republican,Economy,-2,"Tariff-driven uncertainty; market volatility; Q1 2026 growth print weak."
Donald Trump (2nd term),Republican,Health,0,"No major public-health shock to date; partial measure."
Donald Trump (2nd term),Republican,Prosperity,-3,"Tariff cost passed to consumers; real incomes pressured; investment uncertainty."
Donald Trump (2nd term),Republican,Happiness,-6,"UMCSENT below 60 — multi-year lows; consumer expectations index at recession levels."
Donald Trump (2nd term),Republican,Peace,-3,"Ukraine and Middle East conflicts continuing; NATO tensions; trade-war rhetoric."
