id,name,signed_date,signed_by,category,sentiment,short_description,supported_by,opposed_by,notes
leg-glb,Gramm-Leach-Bliley Act,1999-11-12,clinton,Finance,-0.10,"Repealed parts of Glass-Steagall; allowed commercial/investment bank mergers.",,,"Later criticized after 2008 financial crisis; bipartisan at signing (362-57 House)."
leg-patriot,USA PATRIOT Act,2001-10-26,bush43,Security,0.55,"Expanded surveillance authorities post-9/11.",,"obama biden","79% initial public support per Pew. Approval eroded over time as civil-liberties concerns surfaced."
leg-nclb,No Child Left Behind Act,2002-01-08,bush43,Education,0.25,"Federal standards-based education reform with testing requirements.",,obama,"Broad bipartisan support at signing; became controversial over 'teaching to the test' complaints."
leg-iraqwar,Iraq War Resolution (AUMF),2002-10-16,bush43,War,0.20,"Authorized use of force against Iraq.",,obama,"Approved 77-23 Senate. Public support eroded sharply by 2006."
leg-mma,Medicare Modernization Act,2003-12-08,bush43,Health,0.15,"Added Medicare Part D prescription-drug benefit.",,,"Controversial at passage; approval grew as program proved popular."
leg-tarp,Emergency Economic Stabilization Act (TARP),2008-10-03,bush43,Finance,-0.35,"$700B financial-sector bailout during 2008 crisis.","obama",,"Deeply unpopular with public (~40% approved) despite economic necessity consensus."
leg-recovery,American Recovery and Reinvestment Act,2009-02-17,obama,Economic,0.05,"$787B stimulus package in wake of Great Recession.",,"trump1","Narrow approval at signing; retrospective views improved as recession ended."
leg-aca,Affordable Care Act,2010-03-23,obama,Health,-0.10,"Expanded health insurance coverage via exchanges, Medicaid expansion, mandates.",biden,"trump1","Polling split 45-50 at signing; approval flipped positive by late 2010s."
leg-doddfrank,Dodd-Frank Wall Street Reform,2010-07-21,obama,Finance,0.10,"Major post-2008 financial-system reform; created CFPB.",biden,"trump1","Mildly positive approval; partially rolled back 2018."
leg-jobs,JOBS Act,2012-04-05,obama,Finance,0.35,"Loosened securities regulations for startups and IPOs.","trump1",,"Strong bipartisan support; 380-41 House."
leg-everybills,Every Student Succeeds Act,2015-12-10,obama,Education,0.40,"Replaced NCLB; returned more authority to states.","trump1",,"Bipartisan consensus at signing."
leg-tcja,Tax Cuts and Jobs Act,2017-12-22,trump1,Finance,-0.25,"Major corporate + individual tax overhaul.",,"biden","Polling 32-50 at signing. Approval remained mixed through enactment."
leg-firststep,First Step Act,2018-12-21,trump1,Justice,0.55,"Criminal-justice reform; sentence reductions.",biden,,"Rare bipartisan win; 87-12 Senate."
leg-cares,CARES Act,2020-03-27,trump1,Economic,0.80,"$2.2T COVID-19 relief; direct payments, PPP, unemployment expansion.",biden,,"Near-universal support (96-0 Senate). Peak approval 70%+ initially."
leg-arp,American Rescue Plan Act,2021-03-11,biden,Economic,0.05,"$1.9T COVID relief + stimulus round 2.","",trump2,"50-50 Senate (Harris tiebreaker); approval 60% initial, eroded on inflation concerns."
leg-iija,Infrastructure Investment and Jobs Act,2021-11-15,biden,Infrastructure,0.45,"$1.2T infrastructure package.",trump2,,"Bipartisan 69-30 Senate. Generally positive approval."
leg-chips,CHIPS and Science Act,2022-08-09,biden,Industrial,0.55,"$280B semiconductor / science funding.",trump2,,"Strong bipartisan support; strategic-industry investment."
leg-ira,Inflation Reduction Act,2022-08-16,biden,Climate,-0.05,"Climate, health, tax changes; IRS funding.","",trump2,"Party-line Senate. Polling 37-42 on passage."
leg-respect,Respect for Marriage Act,2022-12-13,biden,Civil Rights,0.40,"Federal recognition of same-sex and interracial marriage.","",,"Bipartisan (61-36 Senate). Broadly popular (~70% public approval)."
leg-debtlimit,Fiscal Responsibility Act,2023-06-03,biden,Fiscal,0.10,"Debt-ceiling deal with spending caps.","",,"Avoided default; bipartisan. Mixed public reception."
